200
Mark Lebedev;14;4;1907;9164526464;93171978;6;1;2048;B025OB;C229;48;1 2 3 4
Nikita Ignatiev;13;1;1949;9169913696;67636356;4;8;2036;H579XE;T266;9;5
Alexandra Ovchinnikova;13;8;1963;9032325682;43047212;24;11;2016;M451HT;T63;26;6
Eva Mayorova;11;7;1937;9267365409;110117;22;2;2000;H433BB;I873;47;7 8 9
Natalia Ivanova;3;5;1929;4959008382;98249849;7;5;2027;X610ET;L284;77;10 11 12
Lev Frolov;7;10;1929;4958581474;77278473;22;7;2010;P552ET;W903;51;13 14 15
Elizaveta Bulatova;1;2;1955;9162791847;66097471;9;11;2028;E756MA;A664;80;16 17
Damir Vasiliev;24;1;1918;9166386786;51532340;10;3;2047;H126TX;R761;43;18 19 20 21 22
Konstantin Avdeev;5;9;1955;9853331922;26963214;25;8;2031;K067BE;C327;72;23 24 25 26 27
Xenia Larina;8;7;1961;9039731180;78600055;1;3;2006;Y610BC;G154;20;28 29 30 31 32
Ksenia Kuznetsova;24;8;1956;9267573898;43179257;20;8;2036;T662YA;J635;73;33 34 35 36
Alexander Laptev;15;2;1978;9261129769;99084072;6;5;2005;A801YO;N101;23;37 38 39
Veronika Baranova;16;8;1931;9163984614;54814804;11;10;2018;Y146CP;G565;1;40 41 42 43
Ksenia Pavlova;6;10;1961;9851522152;90467521;1;4;2036;K964CK;A317;81;44 45 46
Nikita Nikitin;20;5;1990;9251837338;40602825;1;9;2020;O813KP;G786;90;47
Alisa Goryunova;9;11;1956;9165619719;17602049;22;9;2027;M756AM;R810;48;48
Roman Afanasiev;19;3;1987;9257969161;44577983;3;4;2027;B797YC;V964;33;49 50 51 52
Andrey Morgunov;17;10;1931;9858371816;61008980;7;7;2012;Y216OM;N840;50;53
Amina Medvedeva;27;1;1906;4957972944;45494612;26;2;2017;E071YC;J501;77;54 55 56
Mikhail Vasiliev;18;7;1901;9032070636;60139362;7;2;2016;B722HE;P334;76;57
Mikhail Golubev;13;4;1925;9165170229;24455024;26;4;2013;X735MY;J310;41;58 59
Varvara Sakharova;3;9;1959;9038400254;32559495;8;10;2044;A396CA;R1;49;60 61
Uliana Osipova;19;7;1931;9858263041;14818783;18;5;2016;C480XE;Q387;82;62
Boris Rozhkov;20;4;1950;9254697859;40261036;23;9;2035;Y181XX;Q255;98;63
Maxim Shcherbakov;10;4;1922;9164820354;71190264;11;5;2020;Y398ET;K581;40;64 65 66 67
Nikita Fadeev;12;6;1975;9856416449;76827385;3;7;2012;P577XB;N295;99;68
Stepan Kuznetsov;18;6;1949;9039855041;9333515;17;6;2047;Y149AE;W844;55;69 70 71 72 73
Yevgeny Kotov;12;7;1985;9031981758;97639813;16;1;2037;C163HO;M754;45;74
Adela Kuznetsova;9;9;1910;9858058394;66009970;19;11;2043;P862MM;Z349;74;75
Konstantin Gorshkov;18;8;1947;9264869978;76410861;27;8;2014;E321OA;Q23;4;76 77 78 79 80
Semen Gusev;12;3;1941;9262740900;82758376;13;11;2050;X685MA;X733;10;81 82 83
Daniil Zakharov;1;9;1920;4951602864;65329863;28;8;2032;E855BP;G90;96;84
Alexandra Guseva;4;7;1932;9038366491;39386002;20;6;2023;T108TB;R995;18;85 86 87 88 89
